Variable,Definition,
shotID,Unique id for each shot,
homeTeamCode,"The home team in the game. For example: TOR, MTL, NYR, etc",
awayTeamCode,The away team in the game,
season,Season the shot took place in. Example: 2009 for the 2009-2010 season,
isPlayoffGame,"Set to 1 if a playoff game, otherwise 0",
game_id,The NHL Game_id of the game the shot took place in,
homeTeamWon,Set to 1 if the home team won the game. Otherwise 0.,
id,The event # of the shot in the game,
time,Seconds into the game of the shot,
timeUntilNextEvent,Time between the shot and the next event that happens in the game after the shot,
timeSinceLastEvent,Time between the shot and the event that took place before the shot,
period,Period of the game,
team,The team taking the shot. HOME or AWAY,
location,"The zone the shot took place in. HOMEZONE, AWAYZONE, or Neu. Zone",
event,"Whether the shot was a shot on goal (SHOT), goal, (GOAL), or missed the net (MISS)",
goal,Set to 1 if shot was a goal. Otherwise 0,
shotPlayContinuedOutsideZone,"Set to 1 if play continued after the shot. (not a goal, goalie stop, or out of play), but the next event was outside of the attacking zone. Otherwise 0.",
shotPlayContinuedInZone,"Set to 1 if play continued after the shot. (not a goal, goalie stop, or out of play) and the next event was inside the attacking zone. Otherwise 0.",
shotGoalieFroze,Set to 1 if the goalie froze the puck within 1 second of the shot. Otherwise 0,
shotPlayStopped,"Set to 1 if the play stopped after the shot for a reason beyond a goalie freeze. (Puck went outside the playing surface, dislodged net, etc). Otherwise 0",
shotGeneratedRebound,Set to 1 if the shot generated a rebound shot within 3 seconds of the this shot.,
homeTeamGoals,Home team goals before the shot took place,
awayTeamGoals,Away team goals before the shot took palce,
xCord,"The X coordinate ""North South"" on the ice of the shot. Feet from red line.  -89 and 89 are the goal lines at each of the rink",
yCord,"The Y coordinate  ""East West"" on the ice of the shot. The middle of the ice has a y-coordinate of 0",
xCordAdjusted,Adjusts the x coordinate as if all shots were at the right end of the rink. Usually makes the coordinate a positive number,
yCordAdjusted,Adjusts the y coordinate as if all shots were at the right end of the rink.,
shotAngle,The angle of the shot in degrees. Is a positive number if the shot is from the left side of the ice. ,
shotAngleAdjusted,The absolute value of the shot angle,
shotAnglePlusRebound,The difference in angle between the previous shot and this shot if this shot is a rebound. Is otherwise set to 0,
shotAngleReboundRoyalRoad,Set to 1 if the puck went through the middle of the between this shot and previous shot if this shot is a rebound.,
shotDistance,"The distance from the net of the shot in feet. Net is defined as being at the (89,0) coordinates",
shotType,"Type of the shot. (Slap, Wrist, etc)",
shotOnEmptyNet,Set to 1 if the shot was on an empty net. Otherwise 0.,
shotRebound,Set to 1 if the shot is a rebound. (If the last event was a shot and within 3 seconds of this shot),
shotAnglePlusReboundSpeed,The shotAnglePlusRebound variable divded by time between the last shot and this one. (How fast the angle changed),
shotRush,Set to 1 if the shot was on a rush. (If the last event was in another zone and within 4 seconds),
speedFromLastEvent,The distance between the shot location and the previous event's location divded by the number of seconds between them,
lastEventxCord,The x coorinate of the last event before the shot,
lastEventyCord,The y coorinate of the last event before the shot,
distanceFromLastEvent,The distance between the shot location and the previous event's location in feet,
lastEventShotAngle,The shot angle of the shot directly before this shot. (If the last event was a shot),
lastEventShotDistance,The shot distance of the shot directly before this shot. (If the last event was a shot),
lastEventCategory,"The type of event before the shot.Shot, hit, etc. ",
lastEventTeam,The team that did the last event. HOME or AWAY. If last event was a faceoff is the team that won the faceoff,
homeEmptyNet,Whether the home team's net is empty at the time of the shot,
awayEmptyNet,Whether the away team's net is empty at the time of the shot,
homeSkatersOnIce,The number of skaters on the ice for the home team. Does not count the goalie,
awaySkatersOnIce,The number of skaters on the ice for the away team. Does not count the goalie,
awayPenalty1TimeLeft,The number of seconds left in the penalty on the away team. If the penalty that will expire first if multiple penalities,
awayPenalty1Length,The total length in seconds of the penalty on the away team. Is the penalty that will expire first if multiple penalities on the away team,
homePenalty1TimeLeft,The number of seconds left in the penalty on the home team. If the penalty that will expire first if multiple penalities,
homePenalty1Length,The total length in seconds of the penalty on the home team. Is the penalty that will expire first if multiple penalities on the home team,
playerPositionThatDidEvent,"The position of the player doing the shot. L for Left Wing, R for Right Wing, D for Defenceman, C for Centre.",
playerNumThatDidEvent,The jersey number of the player that took the shot,
playerNumThatDidLastEvent,The jersey number of the player that did the last event before the shot. Only populated if the previous event is a shot attempt. Otherwise 0.,
lastEventxCord_adjusted,Adjusts the last event's x coordinate similar to the other adjusted coordinate variables,
lastEventyCord_adjusted,Adjusts the last event's y coordinate similar to the other adjusted coordinate variables,
timeSinceFaceoff,Seconds since there has been a faceoff at the time of the shot,
goalieIdForShot,The NHL player id for the goalie the shot is on. ,
goalieNameForShot,The First and Last name of the goalie the shot is on.,
shooterPlayerId,The NHL player id of the skater taking the shot,
shooterName,The First and Last name of the player taking the shot,
shooterLeftRight,Whether the shooter is a left or right shot. L/R,
shooterTimeOnIce,playing time in seconds that have passed since the shooter started their shift,
shooterTimeOnIceSinceFaceoff,The minimum of the  playing time in seconds since the last faceoff and the playing time that has passed since the shooter started their shift,
shootingTeamForwardsOnIce,Number of forwards the shooting team has on the ice,
shootingTeamDefencemenOnIce,Number of defencemen the shooting team has on the ice,
shootingTeamAverageTimeOnIce,The average playing time in seconds the shooting team's players have been on the ice,
shootingTeamAverageTimeOnIceOfForwards,The average playing time in seconds the shooting team's forwards have been on the ice,
shootingTeamAverageTimeOnIceOfDefencemen,The average playing time in seconds the shooting team's defencemen have been on the ice,
shootingTeamMaxTimeOnIce,The maximum playing time in seconds the shooting team's players have been on the ice,
shootingTeamMaxTimeOnIceOfForwards,The maximum playing time in seconds the shooting team's forwards have been on the ice,
shootingTeamMaxTimeOnIceOfDefencemen,The maximum playing time in seconds the shooting team's defencemen have been on the ice,
shootingTeamMinTimeOnIce,The minimum playing time in seconds the shooting team's players have been on the ice,
shootingTeamMinTimeOnIceOfForwards,The minimum playing time in seconds the shooting team's forwards have been on the ice,
shootingTeamMinTimeOnIceOfDefencemen,The minimum playing time in seconds the shooting team's defencemen have been on the ice,
shootingTeamAverageTimeOnIceSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
shootingTeamMaxTimeOnIceSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
shootingTeamMinTimeOnIceSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
defendingTeamForwardsOnIce,Number of forwards the defending team has on the ice,
defendingTeamDefencemenOnIce,Number of defencemen the defending team has on the ice,
defendingTeamAverageTimeOnIce,The average playing time in seconds the shooting team's players have been on the ice,
defendingTeamAverageTimeOnIceOfForwards,The average playing time in seconds the shooting team's forwards have been on the ice,
defendingTeamAverageTimeOnIceOfDefencemen,The average playing time in seconds the shooting team's defencemen have been on the ice,
defendingTeamMaxTimeOnIce,The maximum playing time in seconds the shooting team's players have been on the ice,
defendingTeamMaxTimeOnIceOfForwards,The maximum playing time in seconds the shooting team's forwards have been on the ice,
defendingTeamMaxTimeOnIceOfDefencemen,The maximum playing time in seconds the shooting team's defencemen have been on the ice,
defendingTeamMinTimeOnIce,The minimum playing time in seconds the shooting team's players have been on the ice,
defendingTeamMinTimeOnIceOfForwards,The minimum playing time in seconds the shooting team's forwards have been on the ice,
defendingTeamMinTimeOnIceOfDefencemen,The minimum playing time in seconds the shooting team's defencemen have been on the ice,
defendingTeamAverageTimeOnIceSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
defendingTeamMaxTimeOnIceSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
defendingTeamMinTimeOnIceSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,Same as equivalent variable above but only counting seconds since the faceoff if the player was on the ice before the faceoff,
offWing,"Set to 1 if the shot is from the left side of the ice and the shooter is a right shot, or vice-versa. Otherwise 0",
arenaAdjustedShotDistance,The shot distance adjusted for arena recording bias. Uses the same methodology as War On Ice proposed by Schuckers and Curro. blog.war-on-ice.com/,
arenaAdjustedXCord,The x coordinate of the arena adjusted shot location. Always a positive number,
arenaAdjustedYCord,The y coordinate of the arena adjusted shot location,
arenaAdjustedYCordAbs,The absolute value of the arena adjusted y coordinate,
timeDifferenceSinceChange,The shooting team's minimum time on ice of any player minus the defending team's minimum time on ice of any player,
averageRestDifference,The shooting team's average time on ice since a faceoff minus the defending team's average time on ice since a faceoff,
xGoal,"The probability the shot will be a goal. Also known as ""Expected Goals""",
xFroze,The probability the goalie will freeze the puck and their will be a stoppage of play within 1 second of the shot,
xRebound,The probability there will be another shot within 3 seconds of this shot occuring,
xPlayContinuedInZone,The probability that the play will continue in the zone after the shot. Defined as the next event after the shot also occuring in the offensive zone and no player changes occuring. Does not include the xRebound probability,
xPlayContinuedOutsideZone,The probability that the play leaves the zone after the shot.,
xPlayStopped,"The probability the play stops after the shot for a reason other than a goal or goalie freezing the puck. For example, the puck is shot into the netting or the net is dislodged, etc.",
xShotWasOnGoal,The probability the shot was on net. (Either a goal or a goalie save),
isHomeTeam,Set to 1 if the shooting team is the home team,
shotWasOnGoal,Set to 1 if the shot was on net. (Either a goal or a goalie save),
teamCode,"The team code of the shooting team. For example, TOR, NYR, etc",
arenaAdjustedXCordABS,Absolute value of the arenaAdjustedXCord,
,,
,,
,,
,Notes:,
,,
,If there was an empty net the goalie name will be blank,
,"The model scores for xGoal, xFroze, xRebound, xPlayContinuedInZone, xPlayContinuedOutsideZone, and xPlayStopped will sum up to 1",
,"If time on ice variables are not available, they are set to 999 for the 'minimum' variables and 0 for the 'maximum' variables. This occures for a few shots per season on average, mostly in 2007 and 2008.",
,The shot distance adjustment algorithm designed by proposed by Schuckers and Curros used in this dataset is explained here: http://www.sloansportsconference.com/wp-content/uploads/2013/Total%20Hockey%20Rating%20(THoR)%20A%20comprehensive%20statistical%20rating%20of%20National%20Hockey%20League%20forwards%20and%20defensemen%20based%20upon%20all%20on-ice%20events.pdf,
,The data has been collected from several sources including the NHL and ESPN,
,No guarantees are made to the quality of the data. NHL shot data is known to have issues and biases.,
,Please reach out through MoneyPuck.com if you have any feedback,
,You are welcome to use this data in any work. Just please cite MoneyPuck.com,
,,
,Games With Missing Data:,
,,
,Season,Game ID
,2008,259
,2008,409
,2008,1077
,2009,81
,,
,,
,Season,"Shots (Missed Net, Shots on Goal, and Goals)"
,2007,"106,243"
,2008,"110,023"
,2009,"110,895"
,2010,"111,405"
,2011,"108,753"
,2012,"66,087"
,2013,"110,682"
,2014,"109,627"
,2015,"109,461"
,2016,"110,953"
,2017,"119,715"
,2018,"117,622"
,Total,"1,291,466"
